Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
BISHNU PADA RAY,Bharatiya Janata Party,102182.0,254,102436.0,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands
KULDEEP RAI SHARMA,Indian National Congress,77829.0,211,78040.0,38.54,Andaman & Nicobar Islands,Andaman & Nicobar Islands
MANOJ PAUL,Andaman Nicobar Democratic Congress,8236.0,18,8254.0,4.08,Andaman & Nicobar Islands,Andaman & Nicobar Islands
D AYYAPPAN,Communist Party of India (Marxist),6009.0,8,6017.0,2.97,Andaman & Nicobar Islands,Andaman & Nicobar Islands
V.K. ABDUL AZIZ,Independent,2195.0,8,2203.0,1.09,Andaman & Nicobar Islands,Andaman & Nicobar Islands
K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911.0,3,914.0,0.45,Andaman & Nicobar Islands,Andaman & Nicobar Islands
DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714.0,5,719.0,0.36,Andaman & Nicobar Islands,Andaman & Nicobar Islands
RINKU MALA MONDAL,Independent,539.0,3,542.0,0.27,Andaman & Nicobar Islands,Andaman & Nicobar Islands
K VENKAT RAM BABU,Independent,506.0,1,507.0,0.25,Andaman & Nicobar Islands,Andaman & Nicobar Islands
USHA KUMARI,Independent,378.0,2,380.0,0.19,Andaman & Nicobar Islands,Andaman & Nicobar Islands
SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349.0,2,351.0,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands
ANAND RAMNATH ARLEKAR,Independent,342.0,,342.0,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands
NOTA,None of the Above,1802.0,7,1809.0,0.89,Andaman & Nicobar Islands,Andaman & Nicobar Islands
G M HARISH (BALAYOGI),Telugu Desam,786149.0,10832,796981.0,61.25,Andhra Pradesh,Amalapuram (SC)
RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362.0,4423,454785.0,34.95,Andhra Pradesh,Amalapuram (SC)
GOUTHAM JANGA,Indian National Congress,14523.0,559,15082.0,1.16,Andhra Pradesh,Amalapuram (SC)
DORABABU YALLA,Bahujan Samaj Party,5202.0,186,5388.0,0.41,Andhra Pradesh,Amalapuram (SC)
KATRU NAGA BABU,Telugu Nava Garjana Party,3736.0,5,3741.0,0.29,Andhra Pradesh,Amalapuram (SC)
VADDI LALITH KUMAR,Independent,2974.0,3,2977.0,0.23,Andhra Pradesh,Amalapuram (SC)
MAKEY DAVY PRASAD,Independent,2104.0,7,2111.0,0.16,Andhra Pradesh,Amalapuram (SC)
GUDE VENKATESWARULU,Independent,1741.0,4,1745.0,0.13,Andhra Pradesh,Amalapuram (SC)
RAMESH JILLELLA,Jatiya Jana Sena Party,866.0,6,872.0,0.07,Andhra Pradesh,Amalapuram (SC)
YALANGI RAMESH,Jaibhim Rao Bharat Party,738.0,2,740.0,0.06,Andhra Pradesh,Amalapuram (SC)
MATHA KRISHNA,Pyramid Party of India,718.0,1,719.0,0.06,Andhra Pradesh,Amalapuram (SC)
GIDDI JNANA PRAKASA RAO,Republican Party of India,717.0,9,726.0,0.06,Andhra Pradesh,Amalapuram (SC)
YADLA RAJESH,Liberation Congress Party,628.0,7,635.0,0.05,Andhra Pradesh,Amalapuram (SC)
KAPA KALYAN,Republican Party of India (A),579.0,2,581.0,0.04,Andhra Pradesh,Amalapuram (SC)
PATHURI RAMESH,Peoples Party of India (Democratic),502.0,3,505.0,0.04,Andhra Pradesh,Amalapuram (SC)
NOTA,None of the Above,13418.0,100,13518.0,1.04,Andhra Pradesh,Amalapuram (SC)
C.M.RAMESH,Bharatiya Janata Party,750027.0,12042,762069.0,57.5,Andhra Pradesh,Anakapalle
BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762.0,5777,465539.0,35.13,Andhra Pradesh,Anakapalle
VEGI VENKATESH,Indian National Congress,24833.0,818,25651.0,1.94,Andhra Pradesh,Anakapalle
PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082.0,75,19157.0,1.45,Andhra Pradesh,Anakapalle
VANKAYALA RAMACHANDRA RAO,Independent,4001.0,1,4002.0,0.3,Andhra Pradesh,Anakapalle
LOVARAJU SIDDHA,Independent,3845.0,7,3852.0,0.29,Andhra Pradesh,Anakapalle
KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549.0,8,3557.0,0.27,Andhra Pradesh,Anakapalle
GARA SURYA RAO,Independent,3116.0,8,3124.0,0.24,Andhra Pradesh,Anakapalle
APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589.0,30,2619.0,0.2,Andhra Pradesh,Anakapalle
NAGESWARA RAO PETLA,Independent,2179.0,5,2184.0,0.16,Andhra Pradesh,Anakapalle
ADARI SARAT CHANDRA,Jai Bharat National Party,1886.0,27,1913.0,0.14,Andhra Pradesh,Anakapalle
VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578.0,13,1591.0,0.12,Andhra Pradesh,Anakapalle
DR. THUMMAPALA HARI SHANKAR,Independent,1567.0,9,1576.0,0.12,Andhra Pradesh,Anakapalle
JUNNURI J SRINIVAS,Independent,1195.0,6,1201.0,0.09,Andhra Pradesh,Anakapalle
APPALANAIDU TUMMAGUNTA,Independent,1055.0,7,1062.0,0.08,Andhra Pradesh,Anakapalle
NOTA,None of the Above,26084.0,151,26235.0,1.98,Andhra Pradesh,Anakapalle
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862.0,12383,768245.0,53.33,Andhra Pradesh,Ananthapur
MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769.0,5921,579690.0,40.24,Andhra Pradesh,Ananthapur
MALLIKARJUNA VAJJALA,Indian National Congress,41954.0,1263,43217.0,3.0,Andhra Pradesh,Ananthapur
G.V.RAMANA REDDY,Independent,6436.0,3,6439.0,0.45,Andhra Pradesh,Ananthapur
BANASI NARAYANAPPA,Bahujan Samaj Party,6280.0,116,6396.0,0.44,Andhra Pradesh,Ananthapur
V.MURALI PRASAD REDDY,Independent,5775.0,3,5778.0,0.4,Andhra Pradesh,Ananthapur
DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862.0,127,4989.0,0.35,Andhra Pradesh,Ananthapur
M.SURENDRA,Pyramid Party of India,2927.0,8,2935.0,0.2,Andhra Pradesh,Ananthapur
U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533.0,7,2540.0,0.18,Andhra Pradesh,Ananthapur
P.CHOWDESWARI,Independent,1514.0,4,1518.0,0.11,Andhra Pradesh,Ananthapur
VADLA KESAVAIAH,Independent,1488.0,6,1494.0,0.1,Andhra Pradesh,Ananthapur
B.RAGHAVENDRA PRASAD,Independent,1317.0,1,1318.0,0.09,Andhra Pradesh,Ananthapur
KETHIREDDY RAGHUNATHAREDDY,Independent,1086.0,5,1091.0,0.08,Andhra Pradesh,Ananthapur
LOKANATH GOWD SURAGOWINI,Independent,1085.0,6,1091.0,0.08,Andhra Pradesh,Ananthapur
SREERANGARAJULA GOPINATH ROYAL,Independent,903.0,1,904.0,0.06,Andhra Pradesh,Ananthapur
SHAIK.NIZAM,Samajwadi Party,749.0,4,753.0,0.05,Andhra Pradesh,Ananthapur
RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735.0,10,745.0,0.05,Andhra Pradesh,Ananthapur
KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574.0,4,578.0,0.04,Andhra Pradesh,Ananthapur
B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566.0,4,570.0,0.04,Andhra Pradesh,Ananthapur
SRINIVASA RAJU.O,Bhartiya Panchyat Party,489.0,5,494.0,0.03,Andhra Pradesh,Ananthapur
DURGA PRASAD D BYATARAYANAJI,Challengers Party,439.0,5,444.0,0.03,Andhra Pradesh,Ananthapur
NOTA,None of the Above,9014.0,185,9199.0,0.64,Andhra Pradesh,Ananthapur
GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470.0,5535,477005.0,40.96,Andhra Pradesh,Araku (ST)
KOTHAPALLI GEETHA,Bharatiya Janata Party,417113.0,9312,426425.0,36.62,Andhra Pradesh,Araku (ST)
APPALANARASA PACHIPENTA,Communist Party of India (Marxist),119016.0,4113,123129.0,10.57,Andhra Pradesh,Araku (ST)
AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858.0,892,25750.0,2.21,Andhra Pradesh,Araku (ST)
SAMAREDDY BALAKRISHNA,Independent,9493.0,42,9535.0,0.82,Andhra Pradesh,Araku (ST)
NIMMAKA JAYARAJU,Independent,8798.0,664,9462.0,0.81,Andhra Pradesh,Araku (ST)
ATHIDHI,Independent,8121.0,15,8136.0,0.7,Andhra Pradesh,Araku (ST)
CHANTI BADNAINA,Jai Bharat National Party,7205.0,47,7252.0,0.62,Andhra Pradesh,Araku (ST)
MOTTADAM . RAJABABU,Bharat Adivasi Party,6370.0,396,6766.0,0.58,Andhra Pradesh,Araku (ST)
RANJITH KUMAR PALAKA,Independent,6000.0,47,6047.0,0.52,Andhra Pradesh,Araku (ST)
RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933.0,26,4959.0,0.43,Andhra Pradesh,Araku (ST)
MANDALA GIRIDHARA RAO,Independent,4931.0,36,4967.0,0.43,Andhra Pradesh,Araku (ST)
VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4500.0,42,4542.0,0.39,Andhra Pradesh,Araku (ST)
NOTA,None of the Above,50205.0,265,50470.0,4.33,Andhra Pradesh,Araku (ST)
KRISHNA PRASAD TENNETI,Telugu Desam,706757.0,10736,717493.0,55.16,Andhra Pradesh,Bapatla (SC)
NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816.0,5646,509462.0,39.17,Andhra Pradesh,Bapatla (SC)
J.D. SEELAM,Indian National Congress,41673.0,1586,43259.0,3.33,Andhra Pradesh,Bapatla (SC)
DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774.0,83,6857.0,0.53,Andhra Pradesh,Bapatla (SC)
NALAMALA TIRUPATI RAO,Navataram Party,2888.0,76,2964.0,0.23,Andhra Pradesh,Bapatla (SC)
BUSSA. NAGARAJU,Independent,1311.0,7,1318.0,0.1,Andhra Pradesh,Bapatla (SC)
GADDE. VIJAYA LAKSHMI,Independent,1046.0,5,1051.0,0.08,Andhra Pradesh,Bapatla (SC)
KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893.0,4,897.0,0.07,Andhra Pradesh,Bapatla (SC)
KONDRU KIRAN KUMAR,Independent,791.0,6,797.0,0.06,Andhra Pradesh,Bapatla (SC)
KATTA ANAND BABU,Independent,704.0,25,729.0,0.06,Andhra Pradesh,Bapatla (SC)
MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669.0,4,673.0,0.05,Andhra Pradesh,Bapatla (SC)
KATTA HEMANAND,Independent,547.0,2,549.0,0.04,Andhra Pradesh,Bapatla (SC)
PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408.0,4,412.0,0.03,Andhra Pradesh,Bapatla (SC)
PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294.0,12,306.0,0.02,Andhra Pradesh,Bapatla (SC)
CHINNAM MURALIDHAR,All Peoples Party,252.0,3,255.0,0.02,Andhra Pradesh,Bapatla (SC)
NOTA,None of the Above,13599.0,124,13723.0,1.06,Andhra Pradesh,Bapatla (SC)
DAGGUMALLA PRASADA RAO,Telugu Desam,765536.0,12535,778071.0,54.84,Andhra Pradesh,Chittoor(SC)
REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469.0,5123,557592.0,39.3,Andhra Pradesh,Chittoor(SC)
MOTUKUR JAGAPATHI,Indian National Congress,29431.0,719,30150.0,2.12,Andhra Pradesh,Chittoor(SC)
THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389.0,122,13511.0,0.95,Andhra Pradesh,Chittoor(SC)
YUGANDAR . KONDA,Independent,6889.0,84,6973.0,0.49,Andhra Pradesh,Chittoor(SC)
K.MUNI KRISHNA,Independent,3954.0,2,3956.0,0.28,Andhra Pradesh,Chittoor(SC)
P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2822.0,11,2833.0,0.2,Andhra Pradesh,Chittoor(SC)
PETA.MOHAN .,Independent,2365.0,1,2366.0,0.17,Andhra Pradesh,Chittoor(SC)
C.SUDHAKAR,Independent,1934.0,1,1935.0,0.14,Andhra Pradesh,Chittoor(SC)
N.CHANDRABABU,Independent,1878.0,7,1885.0,0.13,Andhra Pradesh,Chittoor(SC)
MADASI SUDHARSHAN,Independent,1575.0,3,1578.0,0.11,Andhra Pradesh,Chittoor(SC)
D.MAHESH,Independent,1109.0,10,1119.0,0.08,Andhra Pradesh,Chittoor(SC)
P.MADHU,Independent,902.0,4,906.0,0.06,Andhra Pradesh,Chittoor(SC)
N.BHUPATHI,Independent,862.0,32,894.0,0.06,Andhra Pradesh,Chittoor(SC)
A. PURNA CHANDRA,Independent,856.0,1,857.0,0.06,Andhra Pradesh,Chittoor(SC)
PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,670.0,6,676.0,0.05,Andhra Pradesh,Chittoor(SC)
N.GANGAIAH .,Independent,547.0,5,552.0,0.04,Andhra Pradesh,Chittoor(SC)
T NARESH,Independent,532.0,2,534.0,0.04,Andhra Pradesh,Chittoor(SC)
BANDAPALLI RAMESH,Independent,490.0,3,493.0,0.03,Andhra Pradesh,Chittoor(SC)
NOTA,None of the Above,11812.0,164,11976.0,0.84,Andhra Pradesh,Chittoor(SC)
PUTTA MAHESH KUMAR,Telugu Desam,737644.0,8707,746351.0,54.0,Andhra Pradesh,Eluru
KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318.0,5176,564494.0,40.84,Andhra Pradesh,Eluru
KAVURI LAVANYA,Indian National Congress,19820.0,1006,20826.0,1.51,Andhra Pradesh,Eluru
AJAY BABU BODA,Navarang Congress Party,12197.0,13,12210.0,0.88,Andhra Pradesh,Eluru
NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664.0,68,6732.0,0.49,Andhra Pradesh,Eluru
BOKINALA KOTESWARA RAO,Independent,2253.0,10,2263.0,0.16,Andhra Pradesh,Eluru
RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523.0,3,1526.0,0.11,Andhra Pradesh,Eluru
KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172.0,8,1180.0,0.09,Andhra Pradesh,Eluru
AGASTEEN KOMMINA,Independent,1001.0,3,1004.0,0.07,Andhra Pradesh,Eluru
DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777.0,9,786.0,0.06,Andhra Pradesh,Eluru
RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729.0,3,732.0,0.05,Andhra Pradesh,Eluru
GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710.0,5,715.0,0.05,Andhra Pradesh,Eluru
BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705.0,10,715.0,0.05,Andhra Pradesh,Eluru
NOTA,None of the Above,22371.0,144,22515.0,1.63,Andhra Pradesh,Eluru
DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020.0,13928,864948.0,60.68,Andhra Pradesh,Guntur
KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563.0,6690,520253.0,36.5,Andhra Pradesh,Guntur
JANGALA AJAY KUMAR,Communist Party of India,8317.0,320,8637.0,0.61,Andhra Pradesh,Guntur
SIVAREDDY. ENDREDDY,Navataram Party,5628.0,1,5629.0,0.39,Andhra Pradesh,Guntur
TENALI PRAKASH,Bahujan Samaj Party,4172.0,100,4272.0,0.3,Andhra Pradesh,Guntur
SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959.0,5,1964.0,0.14,Andhra Pradesh,Guntur
SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748.0,5,1753.0,0.12,Andhra Pradesh,Guntur
UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273.0,2,1275.0,0.09,Andhra Pradesh,Guntur
SYED. SAIDA,Navarang Congress Party,1216.0,6,1222.0,0.09,Andhra Pradesh,Guntur
AMBATI CHALAMAIAH,Pyramid Party of India,1029.0,2,1031.0,0.07,Andhra Pradesh,Guntur
PILLI BABU RAO,Independent,688.0,4,692.0,0.05,Andhra Pradesh,Guntur
HARI VENKATA SATISH KURNALA,Jai Bharat National Party,540.0,2,542.0,0.04,Andhra Pradesh,Guntur
VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461.0,,461.0,0.03,Andhra Pradesh,Guntur
EMANI. CHANDRASEKHAR RAO,Navodayam Party,409.0,5,414.0,0.03,Andhra Pradesh,Guntur
SHAIK. KHAJAVALI,Independent,387.0,4,391.0,0.03,Andhra Pradesh,Guntur
CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374.0,4,378.0,0.03,Andhra Pradesh,Guntur
KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368.0,7,375.0,0.03,Andhra Pradesh,Guntur
MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353.0,5,358.0,0.03,Andhra Pradesh,Guntur
GAYATRI AUDHIPUDI,Independent,350.0,7,357.0,0.03,Andhra Pradesh,Guntur
ASHOK ANAND GALI,Independent,335.0,,335.0,0.02,Andhra Pradesh,Guntur
SHAIK ASLAM AKTHER,Independent,334.0,1,335.0,0.02,Andhra Pradesh,Guntur
PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328.0,4,332.0,0.02,Andhra Pradesh,Guntur
AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308.0,4,312.0,0.02,Andhra Pradesh,Guntur
DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306.0,4,310.0,0.02,Andhra Pradesh,Guntur
BURAGA RATNAM,Loktantrik Janta Dal,304.0,12,316.0,0.02,Andhra Pradesh,Guntur
VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268.0,,268.0,0.02,Andhra Pradesh,Guntur
SIVA PARVATHI,Independent,262.0,4,266.0,0.02,Andhra Pradesh,Guntur
BOMMASANI MUTYALA RAO,All Peoples Party,200.0,7,207.0,0.01,Andhra Pradesh,Guntur
SRIKRISHNA AKKISETTI,Independent,179.0,,179.0,0.01,Andhra Pradesh,Guntur
MADAVARAPU NAGA RAJU,Independent,172.0,,172.0,0.01,Andhra Pradesh,Guntur
NOTA,None of the Above,7210.0,177,7387.0,0.52,Andhra Pradesh,Guntur
B K PARTHASARATHI,Telugu Desam,713013.0,12521,725534.0,51.23,Andhra Pradesh,Hindupur
J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406.0,5701,593107.0,41.88,Andhra Pradesh,Hindupur
B A SAMAD SHAHEEN,Indian National Congress,53989.0,1070,55059.0,3.89,Andhra Pradesh,Hindupur
BHAGYA R S,Bahujan Samaj Party,7949.0,66,8015.0,0.57,Andhra Pradesh,Hindupur
PRATHAP REDDY GORLA,Independent,5380.0,64,5444.0,0.38,Andhra Pradesh,Hindupur
H D HANUMANTHE GOWD,Independent,2270.0,8,2278.0,0.16,Andhra Pradesh,Hindupur
ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045.0,6,2051.0,0.14,Andhra Pradesh,Hindupur
S N SURESH,Independent,1611.0,20,1631.0,0.12,Andhra Pradesh,Hindupur
DASAGANIPALLI KULLAYAPPA,Independent,1317.0,11,1328.0,0.09,Andhra Pradesh,Hindupur
ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282.0,10,1292.0,0.09,Andhra Pradesh,Hindupur
T SUDHAKAR REDDY,Independent,1227.0,10,1237.0,0.09,Andhra Pradesh,Hindupur
S RAGHUNATHA REDDY,Independent,693.0,17,710.0,0.05,Andhra Pradesh,Hindupur
BUDILI DHANUNJAYA,National Nava Kranthi Party,679.0,3,682.0,0.05,Andhra Pradesh,Hindupur
NOTA,None of the Above,17826.0,145,17971.0,1.27,Andhra Pradesh,Hindupur
Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406.0,6737,605143.0,45.78,Andhra Pradesh,Kadapa
CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358.0,10090,542448.0,41.03,Andhra Pradesh,Kadapa
Y.S. SHARMILA REDDY,Indian National Congress,136395.0,4644,141039.0,10.67,Andhra Pradesh,Kadapa
PANDITI. GURAPPA.,Bahujan Samaj Party,3790.0,20,3810.0,0.29,Andhra Pradesh,Kadapa
VENU GOPAL RACHINENI,Rashtriya Praja Congress (Secular),3500.0,70,3570.0,0.27,Andhra Pradesh,Kadapa
CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414.0,16,2430.0,0.18,Andhra Pradesh,Kadapa
KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329.0,4,2333.0,0.18,Andhra Pradesh,Kadapa
L. KHAJA HUSSAIN,Independent,1087.0,1,1088.0,0.08,Andhra Pradesh,Kadapa
ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752.0,3,755.0,0.06,Andhra Pradesh,Kadapa
KAKARLA SHANMUKHA REDDY,Independent,633.0,14,647.0,0.05,Andhra Pradesh,Kadapa
PALLE RAMESH,Jaibhim Rao Bharat Party,619.0,5,624.0,0.05,Andhra Pradesh,Kadapa
CHAN BASHA. S,Anna YSR Congress Party,432.0,7,439.0,0.03,Andhra Pradesh,Kadapa
J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414.0,20,434.0,0.03,Andhra Pradesh,Kadapa
MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358.0,11,369.0,0.03,Andhra Pradesh,Kadapa
NOTA,None of the Above,16660.0,186,16846.0,1.27,Andhra Pradesh,Kadapa
TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,718971.0,10728,729699.0,54.87,Andhra Pradesh,Kakinada
CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188.0,5020,500208.0,37.62,Andhra Pradesh,Kakinada
MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258.0,851,21109.0,1.59,Andhra Pradesh,Kakinada
UDAY,Navarang Congress Party,15578.0,125,15703.0,1.18,Andhra Pradesh,Kakinada
KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916.0,63,11979.0,0.9,Andhra Pradesh,Kakinada
DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818.0,36,9854.0,0.74,Andhra Pradesh,Kakinada
TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516.0,43,6559.0,0.49,Andhra Pradesh,Kakinada
YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924.0,3,3927.0,0.3,Andhra Pradesh,Kakinada
BUGATHA BANGARRAO,Communist Party of India (Marxist-Leninist) (Liberation),2816.0,7,2823.0,0.21,Andhra Pradesh,Kakinada
SUDHA VEERA GANESH,Independent,2645.0,2,2647.0,0.2,Andhra Pradesh,Kakinada
BHAVANI SANKAR PRASAD MERLA,Independent,1963.0,6,1969.0,0.15,Andhra Pradesh,Kakinada
YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762.0,18,1780.0,0.13,Andhra Pradesh,Kakinada
BODDETI APPARAO,Independent,1687.0,,1687.0,0.13,Andhra Pradesh,Kakinada
NEELAKANTAM DONAM,Independent,1401.0,11,1412.0,0.11,Andhra Pradesh,Kakinada
PASUPULETI S.V.S.BHUSHANAM,Independent,1222.0,5,1227.0,0.09,Andhra Pradesh,Kakinada
NOTA,None of the Above,17105.0,115,17220.0,1.29,Andhra Pradesh,Kakinada
BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335.0,8579,658914.0,49.51,Andhra Pradesh,Kurnoolu
B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801.0,3815,547616.0,41.15,Andhra Pradesh,Kurnoolu
P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972.0,1401,70373.0,5.29,Andhra Pradesh,Kurnoolu
MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533.0,56,8589.0,0.65,Andhra Pradesh,Kurnoolu
BOYA SURESH,Independent,5891.0,9,5900.0,0.44,Andhra Pradesh,Kurnoolu
T. BEECHUPALLI,Independent,5125.0,2,5127.0,0.39,Andhra Pradesh,Kurnoolu
VIJAYA BHASKAR .REDDYPOGU,Independent,3504.0,4,3508.0,0.26,Andhra Pradesh,Kurnoolu
PAGADALA KODANDA,Independent,3070.0,6,3076.0,0.23,Andhra Pradesh,Kurnoolu
DEVARAPOGU MADDILETY,Independent,2576.0,6,2582.0,0.19,Andhra Pradesh,Kurnoolu
PRAKASH REDDY RALAMPADU,Independent,2222.0,3,2225.0,0.17,Andhra Pradesh,Kurnoolu
JAHANGIR AHMED,Social Democratic Party Of India,2058.0,16,2074.0,0.16,Andhra Pradesh,Kurnoolu
DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847.0,9,1856.0,0.14,Andhra Pradesh,Kurnoolu
ABDUL SATTAR A.S.R,Anna YSR Congress Party,1565.0,36,1601.0,0.12,Andhra Pradesh,Kurnoolu
VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385.0,5,1390.0,0.1,Andhra Pradesh,Kurnoolu
URUKUNDU VADDE,Independent,1284.0,11,1295.0,0.1,Andhra Pradesh,Kurnoolu
MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162.0,2,1164.0,0.09,Andhra Pradesh,Kurnoolu
SUNKARA SREEDHAR,Jai Bharat National Party,1149.0,14,1163.0,0.09,Andhra Pradesh,Kurnoolu
TARIGOPULA RAJABABU,All Peoples Party,1032.0,1,1033.0,0.08,Andhra Pradesh,Kurnoolu
AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777.0,6,783.0,0.06,Andhra Pradesh,Kurnoolu
NOTA,None of the Above,10394.0,117,10511.0,0.79,Andhra Pradesh,Kurnoolu
BALASHOWRY VALLABHANENI,Janasena Party,712149.0,12290,724439.0,55.22,Andhra Pradesh,Machilipatnam
SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211.0,6049,501260.0,38.21,Andhra Pradesh,Machilipatnam
GOLLU KRISHNA,Indian National Congress,31130.0,695,31825.0,2.43,Andhra Pradesh,Machilipatnam
BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518.0,623,11141.0,0.85,Andhra Pradesh,Machilipatnam
DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911.0,117,10028.0,0.76,Andhra Pradesh,Machilipatnam
KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245.0,9,5254.0,0.4,Andhra Pradesh,Machilipatnam
VALLABHANENI NAGA PAVAN KUMAR,Independent,5206.0,14,5220.0,0.4,Andhra Pradesh,Machilipatnam
MARADANI K R SWAMY,Jai Maha Bharath Party,2206.0,8,2214.0,0.17,Andhra Pradesh,Machilipatnam
GANDHI DHANEKULA,Independent,1989.0,2,1991.0,0.15,Andhra Pradesh,Machilipatnam
PAMULA BALA SOWRYAMMA,Independent,1576.0,6,1582.0,0.12,Andhra Pradesh,Machilipatnam
ANUSHA YERUVA,Independent,1233.0,2,1235.0,0.09,Andhra Pradesh,Machilipatnam
GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102.0,9,1111.0,0.08,Andhra Pradesh,Machilipatnam
